title,date,explanation,image_file,image_url,analysis_timestamp,image_width,image_height,image_size_pixels,image_format,image_mode,file_size_kb,mean_red,mean_green,mean_blue,brightness,brightness_category,source,has_hd_version,detected_keywords
Waves of the Great Lacerta Nebula,2022-09-14,"It is one of the largest nebulas on the sky -- why isn't it better known? Roughly the same angular size as the Andromeda Galaxy, the Great Lacerta Nebula can be found toward the constellation of the Lizard (Lacerta). The emission nebula is difficult to see with wide-field binoculars because it is so faint, but also usually difficult to see with a large telescope because it is so great in angle -- spanning about three degrees. The depth, breadth, waves, and beauty of the nebula -- cataloged as Sharpless 126 (Sh2-126) -- can best be seen and appreciated with a long duration camera exposure. The featured image is one such combined exposure -- in this case 10 hours over five different colors and over six nights during this past June and July at the IC Astronomy Observatory in Spain. The hydrogen gas in the Great Lacerta Nebula glows red because it is excited by light from the bright star 10 Lacertae, one of the bright blue stars just above the red-glowing nebula's center.  The stars and nebula are about 1,200 light years distant.    Harvest Full Moon 2022: Notable Submissions to APOD",f7e14244a3ba5974e145ede46b751094.jpg,https://apod.nasa.gov/apod/image/2209/GreatLacerta_Ruuth_960.jpg,2026-01-27T19:24:53.514914,960,784,752640,JPEG,RGB,172.73,67.2,45.96,53.36,55.51,Dark,"
Jarmo Ruuth, Telescope Live;
 Text: 
Ata Sarajedini 
(Florida Atlantic U., 
Astronomy Minute podcast)
",True,"galaxy, nebula, star, moon, constellation"
Infrared Trifid,2016-12-31,"The Trifid Nebula, also known as Messier 20, is easy to find with a small telescope, a well known stop in the nebula rich constellation Sagittarius. But where visible light pictures show the nebula divided into three parts by dark, obscuring dust lanes, this penetrating infrared image reveals filaments of glowing dust clouds and newborn stars. The spectacular false-color view is courtesy of the Spitzer Space Telescope. Astronomers have used the Spitzer infrared image data to count newborn and embryonic stars which otherwise can lie hidden in the natal dust and gas clouds of this intriguing stellar nursery. As seen here, the Trifid is about 30 light-years across and lies only 5,500 light-years away.  News: Leap second to be added to 2016.",ee92c89e33042af4c01df630b8e9729a.jpg,https://apod.nasa.gov/apod/image/1612/trifid_spitzerR1024.jpg,2026-01-27T19:25:04.099307,1024,629,644096,JPEG,RGB,898.3,72.49,70.66,44.68,62.61,Dark,,True,"nebula, star, constellation"
Announcing Comet Catalina,2015-08-18,"Will Comet Catalina become visible to the unaided eye? Given the unpredictability of comets, no one can say for sure, but it seems like a good bet. The comet was discovered in 2013 by observations of the Catalina Sky Survey. Since then, Comet C/2013 US10 (Catalina) has steadily brightened and is currently brighter than 8th magnitude, making it visible with binoculars and long-duration camera images.  As the comet further approaches the inner Solar System it will surely continue to intensify, possibly becoming a naked eye object sometime in October and peaking sometime in late November. The comet will reside primarily in the skies of the southern hemisphere until mid-December, at which time its highly inclined orbit will bring it quickly into northern skies. Featured above,  Comet Catalina was imaged last week sporting a green coma and two growing tails.",cb1a99a5dc56eda783f18e6c0c794ab1.jpg,https://apod.nasa.gov/apod/image/1508/CometCatalina_Sharp_1080.jpg,2026-01-27T19:25:07.903086,1080,716,773280,JPEG,RGB,180.08,51.15,51.08,48.91,50.38,Dark,"
Ian Sharp
",True,"comet, solar, orbit"
Farewell Jupiter,2003-03-09,Tomorrow's picture: Big Pinwheel  < | Archive | Index | Search | Calendar | Glossary | Education | About APOD | >  Authors & editors: Robert Nemiroff (MTU) & Jerry Bonnell (USRA) NASA Technical Rep.: Jay Norris. Specific rights apply. A service of: LHEA at NASA / GSFC & NASA SEU Edu. Forum & Michigan Tech. U.,fb2fdb8058e0a6f9ce8507e0e79a5d23.jpg,https://apod.nasa.gov/apod/image/0108/jupitercrescent_cassini.jpg,2026-01-27T19:25:10.128339,450,724,325800,JPEG,RGB,12.07,18.08,17.61,16.69,17.46,Dark,,True,
"Io's Shadow
Credit:",1996-10-07,"Caught in the act earlier this summer by the Hubble Space Telescope, the volcanic moon Io (above and right of center) and its shadow (black dot) are seen here against Jupiter's clouds. Io's shadow is 2,262 miles in diameter (about the size of Io) as it races across the swirling cloud tops at about 38,000 miles per hour. From our perspective in the inner Solar System, dramatic scenes like this one are possible when Jupiter, Io, and the Sun line up. What would this scene look like when viewed from Jupiter's cloud tops? As the shadow passed over Jupiter, for observers along the shadow's track, Io's disk would appear to eclipse the sun. The situation is familiar to those Earth Dwellers who have seen a Solar Eclipse - visible from along the track of the Moon's shadow passing across the surface of the Earth.",50364dd4205e50f674cc5f4b3e386cb0.jpg,https://apod.nasa.gov/apod/image/ioshadow_hst.gif,2026-01-27T19:25:12.782996,539,351,189189,GIF,P,46.35,,,,,,,True,"moon, solar, surface"
The Smooth Spheres of Gravity Probe B,2004-04-28,"Does gravity have a magnetic counterpart?  Spin any electric charge and you get a magnetic field.  Spin any mass and, according to Einstein, you should get a very slight effect that acts something like magnetism.  This effect is expected to be so small that it is beyond practical experience and even beyond laboratory measurement.  Until now.  In a bold attempt to directly measure gravitomagnetism, NASA launched last week the smoothest spheres ever manufactured into space to see how they spin.  These four spheres, each roughly the size of a ping-pong ball, are the key to the ultra-precise gyroscopes at the core of Gravity Probe B.  Will the gyroscopes feel gravitomagnetism and wobble at the rate Einstein would have predicted?  Stay tuned.  Better understanding space, time, and gravity can have untold long term benefits as well as likely shorter term benefits such as better clocks and global positioning trackers.",f6501bdfe712f73fd5e0fb3c5038ace1.jpg,https://apod.nasa.gov/apod/image/0404/gyro_gpb_big.jpg,2026-01-27T19:25:15.628518,640,480,307200,JPEG,RGB,36.1,123.85,112.34,120.66,118.95,Medium,,True,gravity
A Spiral Galaxy Gallery,1998-03-14,"A progression of beautiful spiral galaxies is illustrated above with three photographs from NASA's Ultraviolet Imaging Telescope (UIT). Flying above the Earth's obscuring layer of atmosphere on the Space Shuttle Columbia during the Astro-1 mission in 1990, UIT's cameras were able to image these distant spirals in the ultraviolet light produced by hot, young stars. These bright stars, newly condensed from gas and dust clouds, give away the location of the spiral arms they are born in. Because they are massive (many times the mass of the Sun), they are shortlived. Dying and fading before they move too far from their birth place they make excellent tracers of spiral structure. From left to right the galaxies are known as M33, M74, and M81 and have progressively more tightly wound spiral arms. Astronomers would classify these as Scd, Sc, and Sb type spirals using a galaxy classification scheme first worked out by Edwin Hubble.",984641d84987d69b54a32f96f9ec2fb7.jpg,https://apod.nasa.gov/apod/image/spiral_gallery_uit.gif,2026-01-27T19:25:18.222855,585,196,114660,GIF,P,58.99,,,,,,,True,"galaxy, star, atmosphere"
The Milky Ring,2021-01-22,"An expanse of cosmic dust, stars and nebulae along the plane of our Milky Way galaxy form a beautiful ring in this projected all-sky view. The creative panorama covers the entire galaxy visible from planet Earth, an ambitious 360 degree mosaic that took two years to complete. Northern hemisphere sites in western China and southern hemisphere sites in New Zealand were used to collect the image data. Like a glowing jewel set in the milky ring, the bulge of the galactic center, is at the very top. Bright planet Jupiter is the beacon just above the central bulge and left of red giant star Antares. Along the plane and almost 180 degrees from the galactic center, at the bottom of the ring is the area around Orion, denizen of the northern hemisphere's evening winter skies. In this projection the ring of the Milky Way encompasses two notable galaxies in southern skies, the large and small Magellanic clouds.",9253b24624f16be077fd84eb3ac3bd13.jpg,https://apod.nasa.gov/apod/image/2101/MilkyWayRingAlvinWu1024.jpg,2026-01-27T19:25:23.647752,1024,1024,1048576,JPEG,RGB,753.68,35.67,34.04,37.59,35.77,Dark,Alvin Wu,True,"galaxy, nebula, planet, star, cosmic"
Fireball!,1996-02-26,"On rare but spectacular occasions, fireballs, meteors brighter than the brightest stars, flash through the heavens - sometimes making audible sounds and occasionally surviving to strike the Earth's surface. The path of one such fireball, recorded last year in January skies over Hannover Germany is shown above, the brilliant meteor easily outshining the stars of the constellation Orion (visible at the far right). In fact, for this brief moment Sirius, the brightest star in the night sky, is overwhelmed as the image of the fireball grazes it. This dramatic event was recorded by a video camera observation technique known as MOVIE. Interplanetary space is littered with meteoroids, ""rocks"" tens of yards in diameter and less. Striking the Earth's atmosphere at high relative speeds, they leave visible trails known as meteors or, more poetically, ""shooting stars"". The trails are created when the intense heat caused by friction vaporizes them. Fireballs can be caused by meteroids weighing small fractions of an ounce which do not survive to reach the ground. Remnants of larger ones, which do reach the ground after running this fiery gauntlet, are called meteorites. Though fireballs are rare, meteors are visible on any clear night of the year. Even outside the predicted regular meteor shower events, patient observers in dark sky areas can see several an hour - by just looking up! Sightings of fireballs should be reported.",3ad387e38a4273901a8de63b1369e3bf.jpg,https://apod.nasa.gov/apod/image/fireball_crop.gif,2026-01-27T19:25:26.006739,447,346,154662,GIF,P,19.09,,,,,,,True,"planet, star, atmosphere, surface, constellation"
Nest of the Eagle Nebula,2016-10-04,"What surrounds the famous Eagle Nebula?  The inside of the Eagle Nebula contains eggs -- evaporating gaseous globules -- that typically reside in tremendous pillars of gas and dust and where stars form. This image, though, dramatically captures the area surrounding the Eagle Nebula, showing not only the entire Eagle shape, but also enormous volumes of glowing gas and dark dust.  Cataloged as M16, the Eagle emission nebula lies about 6,500 light years away and is visible with binoculars toward the constellation of the Serpent (Serpens). The image spans about 80 light years around the nebula. The iconic center of the Eagle Nebula has been the focus of many observational efforts both from the ground and orbiting observatories.    Follow APOD on: Facebook,  Google Plus,  Instagram, or Twitter",ac1a1494e09396a9943ed46dd2c8454c.jpg,https://apod.nasa.gov/apod/image/1610/EagleNebula_Hendren_960.jpg,2026-01-27T19:25:29.811327,960,640,614400,JPEG,RGB,163.21,94.59,47.72,53.41,65.24,Dark,"
Chris Hendren
",True,"nebula, star, orbit, constellation"
